1;-109.84886152610115
2;-152.92321337969923
3;-204.8040151245163
4;-252.33090055009285
5;-329.86746694684462
6;-388.32528684724383
7;-447.52224074301517
8;-505.53322164630845
9;-544.87683138432158
10;-562.7499686466598
12;-557.49352117365697
11;-548.29855719103489
13;-520.04287851902802
14;-492.33170543262958
15;-464.16036332776048
16;-441.99120679824119
17;-421.26011825767108
18;-407.00275448766143
19;-398.66369009449562
20;-386.79869872541332
21;-373.07686781408574
22;-357.5894316670184
23;-324.21217248891969
24;-303.46546221500842
25;-269.68098225885461
26;-240.4767655990243
27;-202.53870558920821
28;-173.83595232753564
29;-157.86138828351187
30;-141.97050539154674
31;-126.40526555787049
32;-114.22636709334554
33;-102.42437700924381
34;-90.118142076119483
35;-77.273736514892917
36;-68.336820658675862
37;-60.517474704731761
38;-54.590991956790127
39;-50.122708745061693
40;-47.382811187074132
